8=FIX4.4; 35=8; 34=52; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:06; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=0; 39=0; 54=1; 44=1276.37; 32=0; 17=exec20240805110206; 38=30977; 60=2024-08-05-11:02:06; 6=0; 14=0; 37=algo20240805110206; 10=200;
8=FIX4.4; 35=8; 34=132; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:03; 55=WUBA; 40=2; 11=algo20240805110303; 31=51.41; 150=0; 39=0; 54=2; 44=51.41; 32=0; 17=exec20240805110303; 38=5544; 60=2024-08-05-11:03:03; 6=0; 14=0; 37=algo20240805110303; 10=200;
8=FIX4.4; 35=8; 34=133; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:03; 55=WUBA; 40=2; 11=algo20240805110303; 31=51.41; 150=1; 39=1; 54=2; 44=51.41; 32=1386; 17=exec20240805110303; 38=5544; 60=2024-08-05-11:03:03; 6=51.41; 14=1386; 37=algo20240805110303; 10=240;
8=FIX4.4; 35=8; 34=133; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:04; 55=WUBA; 11=C_algo20240805110303; 31=0; 150=6; 39=6; 54=2; 44=51.41; 17=exec20240805110304; 32=0; 41=algo20240805110303; 38=5544; 60=2024-08-05-11:03:04; 6=0.0; 14=1386; 37=algo20240805110303; 10=252;
8=FIX4.4; 35=8; 34=134; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:04; 151=2772; 55=WUBA; 11=C_algo20240805110303; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110304; 32=0; 41=algo20240805110303; 38=5544; 60=2024-08-05-11:03:04; 6=0.0; 14=1386; 37=algo20240805110303; 10=252;
8=FIX4.4; 35=8; 34=136; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:06; 55=EGHT; 40=2; 11=algo20240805110306; 31=17.03; 150=0; 39=0; 54=2; 44=17.03; 32=0; 17=exec20240805110306; 38=888; 60=2024-08-05-11:03:06; 6=0; 14=0; 37=algo20240805110306; 10=200;
8=FIX4.4; 35=8; 34=136; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:06; 55=EGHT; 11=C_algo20240805110306; 31=0; 150=6; 39=6; 54=2; 44=17.03; 17=exec20240805110306; 32=0; 41=algo20240805110306; 38=888; 60=2024-08-05-11:03:06; 6=0.0; 14=0; 37=algo20240805110306; 10=252;
8=FIX4.4; 35=8; 34=137; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:06; 151=444; 55=EGHT; 11=C_algo20240805110306; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110306; 32=0; 41=algo20240805110306; 38=888; 60=2024-08-05-11:03:06; 6=0.0; 14=0; 37=algo20240805110306; 10=252;
8=FIX4.4; 35=8; 34=139; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:08; 55=AHC; 40=2; 11=algo20240805110308; 31=1.40; 150=0; 39=0; 54=1; 44=1.40; 32=0; 17=exec20240805110308; 38=8573; 60=2024-08-05-11:03:08; 6=0; 14=0; 37=algo20240805110308; 10=200;
8=FIX4.4; 35=8; 34=139; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:08; 55=AHC; 11=C_algo20240805110308; 31=0; 150=6; 39=6; 54=1; 44=1.40; 17=exec20240805110308; 32=0; 41=algo20240805110308; 38=8573; 60=2024-08-05-11:03:08; 6=0.0; 14=0; 37=algo20240805110308; 10=252;
8=FIX4.4; 35=8; 34=140; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:08; 151=5716; 55=AHC; 11=C_algo20240805110308; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110308; 32=0; 41=algo20240805110308; 38=8573; 60=2024-08-05-11:03:08; 6=0.0; 14=0; 37=algo20240805110308; 10=252;
8=FIX4.4; 35=8; 34=142; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:10; 55=AOS; 40=2; 11=algo20240805110310; 31=40.38; 150=0; 39=0; 54=2; 44=40.38; 32=0; 17=exec20240805110310; 38=5474; 60=2024-08-05-11:03:10; 6=0; 14=0; 37=algo20240805110310; 10=200;
8=FIX4.4; 35=8; 34=143; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:11; 55=AOS; 40=2; 11=algo20240805110310; 31=40.38; 150=2; 39=2; 54=2; 44=40.38; 32=5474; 17=exec20240805110311; 38=5474; 60=2024-08-05-11:03:11; 6=40.38; 14=5474; 37=algo20240805110310; 10=246;
8=FIX4.4; 35=8; 34=144; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:11; 55=ATEN; 40=2; 11=algo20240805110311; 31=6.45; 150=0; 39=0; 54=1; 44=6.45; 32=0; 17=exec20240805110311; 38=25054; 60=2024-08-05-11:03:11; 6=0; 14=0; 37=algo20240805110311; 10=200;
8=FIX4.4; 35=8; 34=145; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:12; 55=ATEN; 40=2; 11=algo20240805110311; 31=6.45; 150=2; 39=2; 54=1; 44=6.45; 32=25054; 17=exec20240805110312; 38=25054; 60=2024-08-05-11:03:12; 6=6.45; 14=25054; 37=algo20240805110311; 10=246;
8=FIX4.4; 35=8; 34=146; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:12; 55=AIR; 40=2; 11=algo20240805110312; 31=16.31; 150=0; 39=0; 54=1; 44=16.31; 32=0; 17=exec20240805110312; 38=20949; 60=2024-08-05-11:03:12; 6=0; 14=0; 37=algo20240805110312; 10=200;
8=FIX4.4; 35=8; 34=147; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:13; 55=AIR; 40=2; 11=algo20240805110312; 31=16.31; 150=2; 39=2; 54=1; 44=16.31; 32=20949; 17=exec20240805110313; 38=20949; 60=2024-08-05-11:03:13; 6=16.31; 14=20949; 37=algo20240805110312; 10=246;
8=FIX4.4; 35=8; 34=148; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:13; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=0; 39=0; 54=2; 44=25.68; 32=0; 17=exec20240805110313; 38=3516; 60=2024-08-05-11:03:13; 6=0; 14=0; 37=algo20240805110313; 10=200;
8=FIX4.4; 35=8; 34=149; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:13; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=879; 17=exec20240805110313; 38=3516; 60=2024-08-05-11:03:13; 6=25.68; 14=879; 37=algo20240805110313; 10=240;
8=FIX4.4; 35=8; 34=150; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:14; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=879; 17=exec20240805110314; 38=3516; 60=2024-08-05-11:03:14; 6=25.68; 14=1758; 37=algo20240805110313; 10=240;
8=FIX4.4; 35=8; 34=151; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:15; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=879; 17=exec20240805110315; 38=3516; 60=2024-08-05-11:03:15; 6=25.68; 14=2637; 37=algo20240805110313; 10=240;
8=FIX4.4; 35=8; 34=152; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:17; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=2; 39=2; 54=2; 44=25.68; 32=879; 17=exec20240805110317; 38=3516; 60=2024-08-05-11:03:17; 6=25.68; 14=3516; 37=algo20240805110313; 10=246;
8=FIX4.4; 35=8; 34=153; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:17; 55=ABB; 40=2; 11=algo20240805110317; 31=17.42; 150=0; 39=0; 54=2; 44=17.42; 32=0; 17=exec20240805110317; 38=8201; 60=2024-08-05-11:03:17; 6=0; 14=0; 37=algo20240805110317; 10=200;
8=FIX4.4; 35=8; 34=154; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:18; 55=ABB; 40=2; 11=algo20240805110317; 31=17.42; 150=2; 39=2; 54=2; 44=17.42; 32=8201; 17=exec20240805110318; 38=8201; 60=2024-08-05-11:03:18; 6=17.42; 14=8201; 37=algo20240805110317; 10=246;
8=FIX4.4; 35=8; 34=155; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:18; 55=ABT; 40=2; 11=algo20240805110318; 31=94.04; 150=0; 39=0; 54=2; 44=94.04; 32=0; 17=exec20240805110318; 38=19067; 60=2024-08-05-11:03:18; 6=0; 14=0; 37=algo20240805110318; 10=200;
8=FIX4.4; 35=8; 34=155; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:18; 55=ABT; 11=C_algo20240805110318; 31=0; 150=6; 39=6; 54=2; 44=94.04; 17=exec20240805110318; 32=0; 41=algo20240805110318; 38=19067; 60=2024-08-05-11:03:18; 6=0.0; 14=0; 37=algo20240805110318; 10=252;
8=FIX4.4; 35=8; 34=156; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:18; 151=14301; 55=ABT; 11=C_algo20240805110318; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110318; 32=0; 41=algo20240805110318; 38=19067; 60=2024-08-05-11:03:18; 6=0.0; 14=0; 37=algo20240805110318; 10=252;
8=FIX4.4; 35=8; 34=158; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:20; 55=ABBV; 40=2; 11=algo20240805110320; 31=83.60; 150=0; 39=0; 54=2; 44=83.60; 32=0; 17=exec20240805110320; 38=6000; 60=2024-08-05-11:03:20; 6=0; 14=0; 37=algo20240805110320; 10=200;
8=FIX4.4; 35=8; 34=158; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:20; 55=ABBV; 11=C_algo20240805110320; 31=0; 150=6; 39=6; 54=2; 44=83.60; 17=exec20240805110320; 32=0; 41=algo20240805110320; 38=6000; 60=2024-08-05-11:03:20; 6=0.0; 14=0; 37=algo20240805110320; 10=252;
8=FIX4.4; 35=8; 34=159; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:20; 151=4000; 55=ABBV; 11=C_algo20240805110320; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110320; 32=0; 41=algo20240805110320; 38=6000; 60=2024-08-05-11:03:20; 6=0.0; 14=0; 37=algo20240805110320; 10=252;
8=FIX4.4; 35=8; 34=161; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:22; 55=ANF; 40=2; 11=algo20240805110322; 31=9.10; 150=0; 39=0; 54=1; 44=9.10; 32=0; 17=exec20240805110322; 38=10621; 60=2024-08-05-11:03:22; 6=0; 14=0; 37=algo20240805110322; 10=200;
8=FIX4.4; 35=8; 34=161; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:22; 55=ANF; 11=C_algo20240805110322; 31=0; 150=6; 39=6; 54=1; 44=9.10; 17=exec20240805110322; 32=0; 41=algo20240805110322; 38=10621; 60=2024-08-05-11:03:22; 6=0.0; 14=0; 37=algo20240805110322; 10=252;
8=FIX4.4; 35=8; 34=162; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:22; 151=7966; 55=ANF; 11=C_algo20240805110322; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110322; 32=0; 41=algo20240805110322; 38=10621; 60=2024-08-05-11:03:22; 6=0.0; 14=0; 37=algo20240805110322; 10=252;
8=FIX4.4; 35=8; 34=164; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:24; 55=ABM; 40=2; 11=algo20240805110324; 31=31.64; 150=0; 39=0; 54=2; 44=31.64; 32=0; 17=exec20240805110324; 38=28083; 60=2024-08-05-11:03:24; 6=0; 14=0; 37=algo20240805110324; 10=200;
8=FIX4.4; 35=8; 34=165; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:24; 55=ABM; 40=2; 11=algo20240805110324; 31=31.64; 150=1; 39=1; 54=2; 44=31.64; 32=9361; 17=exec20240805110324; 38=28083; 60=2024-08-05-11:03:24; 6=31.64; 14=9361; 37=algo20240805110324; 10=240;
8=FIX4.4; 35=8; 34=165; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:25; 55=ABM; 11=C_algo20240805110324; 31=0; 150=6; 39=6; 54=2; 44=31.64; 17=exec20240805110325; 32=0; 41=algo20240805110324; 38=28083; 60=2024-08-05-11:03:25; 6=0.0; 14=9361; 37=algo20240805110324; 10=252;
8=FIX4.4; 35=8; 34=166; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:25; 151=9361; 55=ABM; 11=C_algo20240805110324; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110325; 32=0; 41=algo20240805110324; 38=28083; 60=2024-08-05-11:03:25; 6=0.0; 14=9361; 37=algo20240805110324; 10=252;
8=FIX4.4; 35=8; 34=168; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:27; 55=AAPL; 40=2; 11=algo20240805110327; 31=284.65; 150=0; 39=0; 54=1; 44=284.65; 32=0; 17=exec20240805110327; 38=29522; 60=2024-08-05-11:03:27; 6=0; 14=0; 37=algo20240805110327; 10=200;
8=FIX4.4; 35=8; 34=169; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:28; 55=AAPL; 40=2; 11=algo20240805110327; 31=284.65; 150=2; 39=2; 54=1; 44=284.65; 32=29522; 17=exec20240805110328; 38=29522; 60=2024-08-05-11:03:28; 6=284.65; 14=29522; 37=algo20240805110327; 10=246;
8=FIX4.4; 35=8; 34=170; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:28; 55=PEP; 40=2; 11=algo20240805110328; 31=45.43; 150=0; 39=0; 54=1; 44=45.43; 32=0; 17=exec20240805110328; 38=26155; 60=2024-08-05-11:03:28; 6=0; 14=0; 37=algo20240805110328; 10=200;
8=FIX4.4; 35=8; 34=171; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:28; 55=PEP; 40=2; 11=algo20240805110328; 31=45.43; 150=1; 39=1; 54=1; 44=45.43; 32=6538; 17=exec20240805110328; 38=26155; 60=2024-08-05-11:03:28; 6=45.43; 14=6538; 37=algo20240805110328; 10=240;
8=FIX4.4; 35=8; 34=172; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:29; 55=PEP; 40=2; 11=algo20240805110328; 31=45.43; 150=1; 39=1; 54=1; 44=45.43; 32=6538; 17=exec20240805110329; 38=26155; 60=2024-08-05-11:03:29; 6=45.43; 14=13076; 37=algo20240805110328; 10=240;
8=FIX4.4; 35=8; 34=172; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:30; 55=PEP; 11=C_algo20240805110328; 31=0; 150=6; 39=6; 54=1; 44=45.43; 17=exec20240805110330; 32=0; 41=algo20240805110328; 38=26155; 60=2024-08-05-11:03:30; 6=0.0; 14=13076; 37=algo20240805110328; 10=252;
8=FIX4.4; 35=8; 34=173; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:30; 151=6541; 55=PEP; 11=C_algo20240805110328; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110330; 32=0; 41=algo20240805110328; 38=26155; 60=2024-08-05-11:03:30; 6=0.0; 14=13076; 37=algo20240805110328; 10=252;
8=FIX4.4; 35=8; 34=175; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:32; 55=; 40=2; 11=algo20240805110332; 31=; 150=0; 39=0; 54=1; 44=; 32=0; 17=exec20240805110332; 38=901; 60=2024-08-05-11:03:32; 6=0; 14=0; 37=algo20240805110332; 10=200;
8=FIX4.4; 35=8; 34=175; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:32; 55=; 11=C_algo20240805110332; 31=0; 150=6; 39=6; 54=1; 44=; 17=exec20240805110332; 32=0; 41=algo20240805110332; 38=901; 60=2024-08-05-11:03:32; 6=0.0; 14=0; 37=algo20240805110332; 10=252;
8=FIX4.4; 35=8; 34=176; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:32; 151=601; 55=; 11=C_algo20240805110332; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110332; 32=0; 41=algo20240805110332; 38=901; 60=2024-08-05-11:03:32; 6=0.0; 14=0; 37=algo20240805110332; 10=252;
